Year,StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
2017,"TX",48,31,853799,200684,113822,198165,126551,81076,25824,76785,30892
2017,"TX",48,32,763452,152089,106962,147050,114052,84552,33837,85612,39298
2017,"TX",48,33,753565,177415,69155,168158,71140,94737,40335,89887,42738
2017,"TX",48,34,727595,228446,103033,214247,122075,20832,10400,17263,11299
2017,"TX",48,35,830041,203730,91672,184355,96132,89143,34426,93938,36645
2017,"TX",48,36,742474,181449,123842,177298,134419,41463,22809,38733,22461
2017,"UT",49,1,763612,237609,106888,230326,111083,32963,8011,27331,9401
2017,"UT",49,2,765809,204722,111070,197646,117017,56549,13998,52793,12014
2017,"UT",49,3,767012,246876,103291,237630,110749,27709,6481,27330,6946
2017,"UT",49,4,805400,224722,95528,218526,103330,69527,17489,60156,16122
2017,"VT",50,0,623657,152670,136787,147108,150700,14164,4189,13549,4490
2017,"VA",51,1,805159,162944,126982,156248,135149,73029,36413,71575,42819
2017,"VA",51,2,741514,151094,101986,129687,113470,87748,32723,81721,43085
2017,"VA",51,3,739840,101062,65717,90559,74449,128011,60200,141000,78842
2017,"VA",51,4,771899,116284,82118,111687,90865,111216,62848,117397,79484
2017,"VA",51,5,727064,141057,129658,135035,147414,51002,32342,52853,37703
2017,"VA",51,6,752763,164384,136091,165032,153873,46732,17627,47483,21541
2017,"VA",51,7,790084,148703,121608,145538,136004,78205,37399,78046,44581
2017,"VA",51,8,801609,158160,94181,151362,99036,105365,40686,103161,49658
2017,"VA",51,9,711755,168891,149943,158828,168440,24182,10021,20050,11400
2017,"VA",51,10,850118,166122,123669,162539,129536,93133,41399,91061,42659
2017,"VA",51,11,778215,128229,93516,128289,99260,108864,52210,110127,57720
2017,"WA",53,1,744868,160967,126175,154933,133342,63069,21619,63723,21040
2017,"WA",53,2,745184,161811,124386,147075,136830,62013,23646,62065,27358
2017,"WA",53,3,731931,173790,140945,166954,153022,33231,14601,34778,14610
2017,"WA",53,4,724053,164557,106038,159757,112227,71887,23113,65069,21405
2017,"WA",53,5,716859,178086,133003,169237,145797,34563,10802,34511,10860
2017,"WA",53,6,713112,151255,139041,140828,149558,47786,20352,41605,22687
2017,"WA",53,7,768408,160638,117449,157788,124034,73633,27553,76467,30846
2017,"WA",53,8,757166,161785,127514,149937,128183,72973,20376,69685,26713
2017,"WA",53,9,765319,111308,84843,98303,90741,133953,56675,126014,63482
2017,"WA",53,10,738843,157545,110587,148067,124025,72179,22868,72660,30912
2017,"WV",54,1,611376,154563,128855,151715,139788,15550,5431,10411,5063
2017,"WV",54,2,621635,147259,130958,142323,145566,19648,7014,19727,9140
2017,"WV",54,3,582846,140496,126340,137267,139191,14728,6324,12050,6450
2017,"WI",55,3,720944,188607,148183,180938,155724,21441,4764,16940,4347
2017,"WI",55,1,715529,166158,142590,158564,154470,34565,11978,34875,12329
2017,"WI",55,2,761806,190676,133058,182372,145148,44842,10391,45522,9797
2017,"WI",55,4,708971,102652,71359,102718,81760,122448,43149,131618,53267
2017,"WI",55,5,730386,176165,151225,165869,169436,27003,7504,25006,8178
2017,"WI",55,6,715060,174322,155718,163392,165855,23613,6983,19134,6043
2017,"WI",55,7,710385,165340,166277,158710,171155,17595,6995,17398,6915
2017,"WI",55,8,732402,175378,150843,167639,159875,29926,8706,31866,8169
2017,"WY",56,0,579315,155542,112080,147795,112997,22485,5672,16216,6528
