StateAbbreviation,StateFIPS,CongressionalDistrict,Population,WMY,WMO,WFY,WFO,NWMY,NWMO,NWFY,NWFO
"NE",31,2,668800,0.2534644138755981,0.15060705741626795,0.24448415071770335,0.16668062200956937,6.99686004784689e-2,2.1374102870813396e-2,6.899372009569378e-2,2.442733253588517e-2
"NE",31,3,603216,0.25177714118988886,0.20864168059202673,0.24224324288480412,0.2236147582292247,3.336615739635553e-2,7.499801066284714e-3,2.4805376515211797e-2,8.05184212620355e-3
"NV",32,1,720730,0.13186907718563123,0.11948579912033633,0.12235372469579454,0.10793501033674191,0.18280632136861238,7.420531960651007e-2,0.17368362632331108,8.766112136306245e-2
"NV",32,2,720704,0.22049412796376877,0.188815380516828,0.20672009590622503,0.1893495804102655,7.09986346683243e-2,2.905492407423852e-2,6.40790116330699e-2,3.0488244827279992e-2
"NV",32,3,803545,0.18369475262741974,0.15379848048335812,0.17152741912400674,0.1580907105389244,0.10468984313261859,4.7078881705442756e-2,0.11859447821839474,6.252543416983491e-2
"NV",32,4,753060,0.18442487982365283,0.13470108623482857,0.1738652962579343,0.1354181605715348,0.12913712054816348,5.5830876689772393e-2,0.12429554085995803,6.232703901415558e-2
"NH",33,1,673194,0.24501852363508886,0.2147909815001322,0.24134350573534524,0.2341954919384308,2.784041450161469e-2,8.844404436165503e-3,1.9848661752778544e-2,8.118016500444152e-3
"NH",33,2,669601,0.23397067806051663,0.22549100135752487,0.22261764842047727,0.24396468941952,2.5545063403429803e-2,1.0070176119808661e-2,2.6877200004181596e-2,1.1463543214541197e-2
"NJ",34,1,729675,0.1832733751327646,0.15252406893479975,0.17650323774283072,0.17519032445951965,0.10379415493199028,4.532702915681639e-2,0.10677356357282351,5.661424606845514e-2
"NJ",34,2,713380,0.18887549412655247,0.17642911211416076,0.18400571925201156,0.20390535198631865,8.275393198575794e-2,4.086461633351089e-2,7.800751352715243e-2,4.515826067453531e-2
"NJ",34,3,746035,0.2011835905822113,0.1905714879328718,0.1889763885072416,0.21977923287781403,6.399029536147768e-2,3.27477933340929e-2,6.32678091510452e-2,3.948340225324549e-2
"NJ",34,4,756825,0.21978132329138175,0.18342285204637795,0.21823274865391604,0.21747695966703004,5.215076140455191e-2,2.560036996663694e-2,5.2230039969609884e-2,3.110494500049549e-2
"NJ",34,5,746385,0.19959136370639818,0.18356880162382685,0.20165062266792608,0.2059433134374351,6.403129752071653e-2,3.6178379790590645e-2,6.545281590600026e-2,4.3583405347106384e-2
"NJ",34,6,742483,0.17414405447666814,0.13328520652998116,0.1665021286682658,0.14846804573303363,0.12383044460277205,5.968621503792006e-2,0.12685542968660563,6.722847526475353e-2
"NJ",34,7,754222,0.19827186160043064,0.1893712991665584,0.19268995070416933,0.2116976168820321,6.972350315954719e-2,3.419947972878012e-2,6.49172259626476e-2,3.912906279583465e-2
"NJ",34,8,777484,0.1820719140200956,9.985285870834641e-2,0.1784654089344604,0.11240745790267066,0.15645595279131147,6.038066378214857e-2,0.14438110623498362,6.59846376259833e-2
"NJ",34,9,769504,0.18036293508545764,0.12926638458019712,0.1667697633800474,0.1497185199817025,0.11990321037967314,5.9794361042957545e-2,0.12188370690730653,7.230111864265813e-2
