StateAbbreviation,StateFIPS,CongressionalDistrict,Population,MedianHouseholdIncome,MedianAge,CollegeGrads,AverageHouseholdSize,PovertyCount
"NY",36,8,793532,52956.0,36.1,108697,2.64,165692
"NY",36,9,750170,57453.0,36.8,114413,2.59,115616
"NY",36,10,733275,93629.0,37.0,158122,2.34,113976
"NY",36,11,755204,72633.0,40.0,109399,2.85,99374
"NY",36,12,714279,107010.0,35.7,224422,1.9100000000000001,70634
"NY",36,13,802800,43880.0,34.9,102809,2.61,201488
"NY",36,14,691813,58331.0,38.8,85035,2.91,88876
"NY",36,15,781143,28042.0,31.4,48830,2.95,278534
"NY",36,16,742552,69463.0,40.5,103488,2.67,78241
"NY",36,17,746412,96125.0,38.8,116731,2.95,72518
"NY",36,18,730114,86211.0,39.5,98438,2.82,62679
"NY",36,19,700975,61662.0,44.9,81438,2.49,82907
"NY",36,20,732130,66532.0,39.3,102067,2.45,79459
"NY",36,21,705669,54311.0,40.6,64222,2.44,88298
"NY",36,22,696819,52212.0,41.1,67076,2.42,98040
"NY",36,23,702026,50747.0,40.5,64963,2.38,100908
"NY",36,24,707889,55721.0,40.0,85437,2.4,96596
"NY",36,25,719033,57149.0,38.9,99490,2.37,102852
"NY",36,26,714521,49148.0,38.2,91198,2.27,130222
"NY",36,27,718515,64032.0,44.2,92002,2.42,57374
"NC",37,1,759049,43853.0,38.0,89398,2.43,153453
"NC",37,2,835806,69552.0,38.7,132615,2.77,86563
"NC",37,3,755647,50479.0,37.0,79128,2.5,120274
"NC",37,4,856104,70293.0,34.9,177115,2.5,93258
"NC",37,5,758376,46513.0,40.8,92086,2.46,124060
"NC",37,6,768546,49867.0,41.1,85132,2.51,110885
"NC",37,7,800096,48345.0,41.7,99164,2.46,135087
"NC",37,8,789484,51621.0,36.2,95014,2.59,104913
"NC",37,9,788020,61369.0,39.1,115000,2.74,114733
"NC",37,10,760410,47064.0,41.9,84271,2.45,103026
"NC",37,11,759358,46337.0,45.5,92536,2.44,104530
"NC",37,12,860866,58787.0,34.1,161265,2.57,108160
"NC",37,13,781657,50803.0,39.5,104015,2.5,112397
"ND",38,0,755393,61843.0,35.4,108045,2.31,75279
"OH",39,1,740851,59719.0,36.8,107387,2.43,114096
"OH",39,2,728153,57083.0,40.1,93316,2.41,85364
"OH",39,3,782878,47123.0,32.6,91865,2.5,166446
"OH",39,4,710603,52370.0,40.8,58661,2.43,86769
"OH",39,5,717547,56835.0,39.5,79498,2.43,68479
"OH",39,6,696153,47067.0,43.5,49448,2.4699999999999998,99956
"OH",39,7,725665,54045.0,41.2,65296,2.52,86870
"OH",39,8,730445,58295.0,38.7,73489,2.58,76940
"OH",39,9,720715,43182.0,38.0,70240,2.33,139941
"OH",39,10,721456,51208.0,39.0,85014,2.32,101976
"OH",39,11,675475,35954.0,39.0,68882,2.16,167556
"OH",39,12,780529,71853.0,38.3,140576,2.59,62621
"OH",39,13,715559,45177.0,40.6,75506,2.2800000000000002,121115
"OH",39,14,724790,67163.0,43.7,110455,2.48,63533
"OH",39,15,772776,66694.0,37.7,102190,2.55,86172
"OH",39,16,715014,66504.0,43.3,110111,2.44,55097
"OK",40,1,803883,53332.0,36.2,108074,2.57,111094
"OK",40,2,744806,40305.0,40.3,56241,2.58,141549
"OK",40,3,774066,50089.0,36.6,77390,2.65,116718
"OK",40,4,789947,54885.0,35.8,88300,2.61,101659
"OK",40,5,818162,50441.0,34.8,107238,2.6,132844
"OR",41,1,844175,75585.0,37.8,156260,2.6,72682
"OR",41,2,821129,51813.0,42.3,92917,2.46,111177
"OR",41,3,842158,64379.0,37.5,154584,2.5,118655
"OR",41,4,803611,49666.0,41.1,91228,2.42,130235
"OR",41,5,831703,63710.0,39.3,114171,2.67,105225
"PA",42,1,728366,45400.0,34.1,80574,2.63,170629
"PA",42,2,726135,39128.0,34.7,91094,2.32,180038
"PA",42,3,691184,52491.0,43.0,85961,2.36,87368
"PA",42,4,729945,63733.0,40.5,88479,2.5,70327
"PA",42,5,696063,50232.0,41.5,74424,2.4699999999999998,96351
"PA",42,6,728576,82203.0,40.7,134387,2.55,51181
"PA",42,7,725762,90546.0,41.9,130577,2.67,35855
"PA",42,8,713998,84772.0,43.7,121419,2.6,41378
"PA",42,9,687620,49356.0,43.8,63731,2.4,89084
"PA",42,10,694398,53146.0,44.3,69268,2.57,75224
"PA",42,11,701056,57248.0,42.9,76549,2.4,69795
"PA",42,12,689237,62451.0,45.6,98221,2.32,59993
"PA",42,13,728475,62427.0,38.3,112547,2.68,102777
"PA",42,14,687028,45970.0,38.4,100209,2.08,110505
"PA",42,15,734824,63128.0,40.0,88858,2.55,79159
"PA",42,16,731802,61049.0,37.5,82346,2.67,88318
"PA",42,17,697535,52689.0,43.1,74067,2.45,87828
